company_id,bloomberg_id,company_name,country_of_domicile,ticker,corporate_bond_ticker,figi,isin,cusip,sedol1,asset_type,security_icb_subsector,security_bics_subgroup,security_bclass4,security_mapped_sector,cfi_code,security_type,maturity_date,issue_date,amount_issued,amount_out,coupon_value,par_price,par_amount,current_face_amount,accrued_interest,security_amount_out_native,unit_share_price,position_market,market_value,current_shares_outstanding,current_shares_outstanding_all_classes,free_float_percent,free_float_shares,exchange_rate_usd,moody_rating,s_and_p_rating,fitch_rating,financial_timestamp
,,,US,G2SF 4.5 11/13,G2SF,BBG003LYDDD8,US21H0426B01,21H0426B0,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994.1,,4.5,,86532994103,,,,,1,,,,,,1,,,,2019Q4
,,,US,FGTW 3 1/14,FGTW,BBG003S3B6C7,US02R0305174,02R030517,,Bonds,,FGLMC Single Family 20yr,,Other,,TBAs,,,46412433,,3,,46412433348,,,,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 4 2/14,FNCL,BBG0043GLPF7,US01F0406284,01F040628,,Bonds,,FNMA Single Family 30yr,,Other,,TBAs,,,37969869,24172296,4,104.318,37969868784,1,0.1333333,24172296,104.146,1,1.042793,,,,,1,,,,2019Q4
,,,US,FNCL 4 3/14,FNCL,BBG0046M4ZZ6,US01F0406367,01F040636,,Bonds,,FNMA Single Family 30yr,,Other,,TBAs,,,37969868.78,24172296.5,4,104.33,37969868784,1,0.133333333,24172296.5,104.146,1,1.042793333,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 5/14,G2SF,BBG004HXSJ53,US21H0426534,21H042653,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,50821206,4.5,105.408,86532994103,1,0.2375,50821206,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3.5 5/14,FNCT,BBG004HXSTD2,US01F0325591,01F032559,,Bonds,,UMBS Single Family 20yr,,Other,,TBAs,,,85292205.49,,3.5,,85292205492,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 6/14,G2SF,BBG004N287X1,US21H0326627,21H032662,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,2993321,3.5,,3940287473,,0.175,2993321,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 6/14,G2SF,BBG004N287Y0,US21H0406650,21H040665,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857,8567362,4,,13163857348,,0.2,8567362,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3.5 6/14,FNCT,BBG004N28BW3,US01F0325674,01F032567,,Bonds,,UMBS Single Family 20yr,,Other,,TBAs,,,85292205.49,,3.5,,85292205492,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 7/14,G2SF,BBG004SK11P5,US21H0326700,21H032670,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,2993321,3.5,,3940287473,,,2993321,,1,,,,,,1,,,,2019Q4
