investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,valid_input,direct_holding,security_mapped_sector,financial_sector,sectors_with_assets,has_ald_in_fin_sector,flag
Test,auto_eq_cb_full,BR243734,US302570AW69,4606875,Nextera Energy Capital,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR166954,US93884PDT49,8452850,Washington Gas Light Co,Bonds,TRUE,TRUE,Other,Other,Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR58470,US142339AE06,185962,Carlisle Cos Inc,Bonds,TRUE,TRUE,Other,Other,Aviation,FALSE,Included in analysis
Test,auto_eq_cb_full,BR342282,US02665WBT71,1240150,American Honda Finance Corp,Bonds,TRUE,TRUE,Automotive,Automotive,Automotive + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR214454,US202795JB74,8054060,Commonwealth Edison Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR22079,US35671DBL82,5083500,Freeport-Mcmoran Inc,Bonds,TRUE,TRUE,Other,Other,Oil&Gas + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR305910,US87233QAC24,5019000,Tc Pipelines Lp,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR338429,US20605PAG63,6716320,Concho Resources Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas,TRUE,Included in analysis
Test,auto_eq_cb_full,BR148216,US337932AH00,4149812,Firstenergy Corp,Bonds,TRUE,TRUE,Power,Power,Coal + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR191009,US30161MAG87,5863400,Exelon Generation Co Llc,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR30398,US491386AL26,16514891,Kentucky Power Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Coal + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR685134,US406216BG59,208146,Halliburton Co,Bonds,TRUE,TRUE,Other,Other,Aviation + Oil&Gas,FALSE,Included in analysis
Test,auto_eq_cb_full,BR369854,US247361ZL55,608085,Delta Air Lines Inc,Bonds,TRUE,TRUE,Aviation,Aviation,Aviation,TRUE,Included in analysis
Test,auto_eq_cb_full,BR513888,US927375AA33,48500,Vine Oil & Gas Lp / Fin,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR55664,US42809HAD98,48400650,Hess Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR160890,US233851CU66,481002,Daimler Finance Na Llc,Bonds,TRUE,TRUE,Automotive,Automotive,Automotive + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR533810,US26442UAA25,8161392,Duke Energy Progress Llc,Bonds,TRUE,TRUE,Power,Power,Aviation + Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR625421,US87233QAB41,1666592,Tc Pipelines Lp,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR226094,US65339KAG58,5140666,Nextera Energy Capital,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR144325,US31428XBC92,13227423,Fedex Corp,Bonds,TRUE,TRUE,Other,Other,Aviation,FALSE,Included in analysis
Test,auto_eq_cb_full,BR192407,US88642RAA77,3066859,NA,Bonds,TRUE,TRUE,Shipping,Shipping,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR145650,US83416WAA18,42154231,Solar Star Funding Llc,Bonds,TRUE,TRUE,Power,Power,Aviation + Coal + Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR500856,US406216AZ40,509305,Halliburton Co,Bonds,TRUE,TRUE,Other,Other,Aviation + Oil&Gas,FALSE,Included in analysis
Test,auto_eq_cb_full,BR138971,US05565QDM78,3104610,Bp Capital Markets Plc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power + Shipping,TRUE,Included in analysis
Test,auto_eq_cb_full,BR263027,US05565QCB23,6963888,Bp Capital Markets Plc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power + Shipping,TRUE,Included in analysis
Test,auto_eq_cb_full,BR355341,US71654QCB68,2689688,Petroleos Mexicanos,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR224846,US010392EC80,2437700,Alabama Power Co,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR526962,US86723CAF59,78375,Suncoke Enrgy Part Lp/Fi,Bonds,TRUE,TRUE,Coal,Coal,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR423476,US718546AC87,7439880,Phillips 66,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation,FALSE,Included in analysis
Test,auto_eq_cb_full,BR620327,US202795JF88,86539,Commonwealth Edison Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
