Co. Corp TKR,Total,Utilities,Supranationals,Government Development Banks,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Metals & Mining,Exploration & Production,Pipeline,Integrated Oils,Airlines,Coal Operations,Oil & Gas Services & Equipment,Renewable Energy,Refining & Marketing,Winding Up Agencies,Government Agencies,Government Regional,Sovereigns,Government Local
ORAZEN,550000000,550000000,,,,,,,,,,,,,,,,,,,,
ORAP,6134950,,,,,,,6134950,,,,,,,,,,,,,,
ORANGE,57904000,57904000,,,,,,,,,,,,,,,,,,,,
ORA,231601400,27301400,,,,204300000,,,,,,,,,,,,,,,,
OPELFN,2024533500,,,,,,2024533500,,,,,,,,,,,,,,,
OPCEIT,91578880,,,,,,,,,91578880,,,,,,,,,,,,
OPBFIN,1793631000,,,,,,,,,,,,,,,,,,,1793631000,,
OPALIN,668384556,,,,,,,,,668384556,,,,,,,,,,,,
ONTPOW,399520500,399520500,,,,,,,,,,,,,,,,,,,,
ONTNE,2497003,,,,,,,,,,,,,,,,,,,2497003,,
ONOKEN,45628750,,,,,,,,45628750,,,,,,,,,,,,,
ONGCIN,4001869770,,,,,,,,,4001869770,,,,,,,,,,,,
ONDA,218028000,,,,218028000,,,,,,,,,,,,,,,,,
ONCRTX,5876278000,5876278000,,,,,,,,,,,,,,,,,,,,
OMVAV,8588930000,,,,,,,,,,,8588930000,,,,,,,,,,
OMPLIN,389865000,,,,,,,,,,,,,,,,389865000,,,,,
OMNLTD,61575603,,,,,61575603,,,,,,,,,,,,,,,,
OMN,0,,,,,,,0,,,,,,,,,,,,,,
OMM,0,,,,0,,,,,,,,,,,,,,,,,
OMHAU,15774000,,,,,,,,15774000,,,,,,,,,,,,,
OMGRID,1500000000,1500000000,,,,,,,,,,,,,,,,,,,,
OMENEI,67863620,,,,,,,,,,,,,,,67863620,,,,,,
OMCPIN,4678380,,,,,,,,,,,,,,,4678380,,,,,,
OMANGS,3149350000,,,,,,,,,,,,,,,,,,,,3149350000,
OLSHNO,46034640,,,,46034640,,,,,,,,,,,,,,,,,
OLN,1920000000,,,,,,,1920000000,,,,,,,,,,,,,,
OLDHAM,9156840,,,,,,,,,,,,,,,,,,,,,9156840
OLDDOM,252079000,252079000,,,,,,,,,,,,,,,,,,,,
OLAOOO,0,,,,,,,,0,,,,,,,,,,,,,
OKPOWR,685716450,685716450,,,,,,,,,,,,,,,,,,,,
OKEAAS,120000000,,,,,,,,,120000000,,,,,,,,,,,,
OKE,8047397000,,,,,,,,,,8047397000,,,,,,,,,,,
OKB,22616593400,,,22616593400,,,,,,,,,,,,,,,,,,
OIS,0,,,,,,,,,,,,,,0,,,,,,,
OINLIN,1500000000,,,,,,,,,1500000000,,,,,,,,,,,,
OILHUB,226946440,,,,,,,,,226946440,,,,,,,,,,,,
OILGAS,1000000000,,,,,,,,,,,,,,1000000000,,,,,,,
OII,500000000,,,,,,,,,,,,,,500000000,,,,,,,
OHLBZ,242105579,,,,242105579,,,,,,,,,,,,,,,,,
OGYIGR,8963535,,,,8963535,,,,,,,,,,,,,,,,,
OGXPBZ,3777664284,,,,,,,,,3777664284,,,,,,,,,,,,
OGURAU,274323,,,,274323,,,,,,,,,,,,,,,,,
OGS,1200000000,1200000000,,,,,,,,,,,,,,,,,,,,
OGLETH,2750000000,2750000000,,,,,,,,,,,,,,,,,,,,
OGKERM,174698500,,,,,174698500,,,,,,,,,,,,,,,,
OGKBGR,173979000,,,,,173979000,,,,,,,,,,,,,,,,
OGIMK,3000000000,,,,,,,,,,,,,,,,,,3000000000,,,
OGE,2885000000,2885000000,,,,,,,,,,,,,,,,,,,,
OENRGY,597810350,,,,,,,,,,,,,,,,597810350,,,,,
ODYABZ,22619580,,,,,22619580,,,,,,,,,,,,,,,,
ODRATR,39880697,,,,39880697,,,,,,,,,,,,,,,,,
ODHGPR,950000000,,,,,,,,,,,,,,950000000,,,,,,,
ODFNO,317211000,,,,317211000,,,,,,,,,,,,,,,,,
ODFL,45000000,,,,45000000,,,,,,,,,,,,,,,,,
ODEOLE,1758820000,,,,,,,,,,,,,,1758820000,,,,,,,
ODEBRE,2976547000,,,,,,,,,,,,,,2976547000,,,,,,,
ODBR,92541300,,,,92541300,,,,,,,,,,,,,,,,,
ODBEBZ,150618600,,,,,,,,,,,,,,,150618600,,,,,,
ODB,81493700,81493700,,,,,,,,,,,,,,,,,,,,
ODASTI,13169700,13169700,,,,,,,,,,,,,,,,,,,,
ODAPBZ,30567000,30567000,,,,,,,,,,,,,,,,,,,,
ODABBZ,186436162,186436162,,,,,,,,,,,,,,,,,,,,
OCYNO,349488750,,,,349488750,,,,,,,,,,,,,,,,,
OCPMR,3412141592,,,,,,,3412141592,,,,,,,,,,,,,,
OCINV,415949610,,,,,,,415949610,,,,,,,,,,,,,,
OCENSA,500000000,,,,,,,,,,500000000,,,,,,,,,,,
OCEANO,42227900,,,,42227900,,,,,,,,,,,,,,,,,
OCEAIN,26900685,,,,26900685,,,,,,,,,,,,,,,,,
OCCICO,105426043,105426043,,,,,,,,,,,,,,,,,,,,
OBRKRF,368097000,,,,,368097000,,,,,,,,,,,,,,,,
OBND,17441662850,,,,,,,,,,,,,,,,,,17441662850,,,
OBECN,1116072010,,,,,,,,,1116072010,,,,,,,,,,,,
OASUBZ,33671892,33671892,,,,,,,,,,,,,,,,,,,,
