Co. Corp TKR,Total,Utilities,Supranationals,Government Development Banks,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Metals & Mining,Exploration & Production,Pipeline,Integrated Oils,Airlines,Coal Operations,Oil & Gas Services & Equipment,Renewable Energy,Refining & Marketing,Winding Up Agencies,Government Agencies,Government Regional,Sovereigns,Government Local
KUAMIN,34137800,,,,34137800,,,,,,,,,,,,,,,,,
KTROLL,0,,,,,,,,0,,,,,,,,,,,,,
KSTBMK,0,,,,,,,,,,,,,,0,,,,,,,
KSFCIN,235166568,,,,,,,,,,,,,,,,,,,235166568,,
KSEATR,0,,,,0,,,,,,,,,,,,,,,,,
KSCBCO,44380349,,,,,,,44380349,,,,,,,,,,,,,,
KSA,9000000000,,,,,,,,,,,,,,,,,,,,9000000000,
KRO,490796000,,,,,,,490796000,,,,,,,,,,,,,,
KRLOGI,9800000,,,,9800000,,,,,,,,,,,,,,,,,
KRKSFL,10720034,10720034,,,,,,,,,,,,,,,,,,,,
KRISSP,355597203,,,,,,,,,355597203,,,,,,,,,,,,
KRISHY,31189200,,,,,,,31189200,,,,,,,,,,,,,,
KRISEN,0,0,,,,,,,,,,,,,,,,,,,,
KRIINF,19493250,,,,19493250,,,,,,,,,,,,,,,,,
KRAGER,0,,,,0,,,,,,,,,,,,,,,,,
KRAFGN,148713526,148713526,,,,,,,,,,,,,,,,,,,,
KRA,840000000,,,,,,,840000000,,,,,,,,,,,,,,
KPTTSP,75745200,,,,75745200,,,,,,,,,,,,,,,,,
KPPIN,62378400,62378400,,,,,,,,,,,,,,,,,,,,
KPMTEC,33394103,,,,,,,33394103,,,,,,,,,,,,,,
KOYOEC,107015555,,,,,,,107015555,,,,,,,,,,,,,,
KOWEPW,4746371360,,,,,4746371360,,,,,,,,,,,,,,,,
KOSOPW,3667214920,,,,,3667214920,,,,,,,,,,,,,,,,
KOS,525000000,,,,,,,,,525000000,,,,,,,,,,,,
KORSTL,555787200,,,,,,,,,,,,,,,555787200,,,,,,
KOROIL,1310770000,,,,,,,,,,,,,,,,,,1310770000,,,
KORLIN,30000000,,,,30000000,,,,,,,,,,,,,,,,,
KORKUM,234525520,,,,,,,234525520,,,,,,,,,,,,,,
KOREXP,1093048160,,,,1093048160,,,,,,,,,,,,,,,,,
KORESC,644947000,,,,,,,,644947000,,,,,,,,,,,,,
KOREAN,2171688105,,,,,,,,,,,,2171688105,,,,,,,,,
KORDSA,0,,,,,,,0,,,,,,,,,,,,,,
KOPLAC,9263120,,,,,,,9263120,,,,,,,,,,,,,,
KOP,500000000,,,,,,,500000000,,,,,,,,,,,,,,
KONVOD,130800830,130800830,,,,,,,,,,,,,,,,,,,,
KONTEP,69879400,69879400,,,,,,,,,,,,,,,,,,,,
KONOIK,210130930,,,,210130930,,,,,,,,,,,,,,,,,
KONDEN,15417350,,,,,,,,,,,,,,15417350,,,,,,,
KOMLAN,736194000,,,,,,,,,,,,,,,,,,736194000,,,
KOMIPW,4549872700,,,,,4549872700,,,,,,,,,,,,,,,,
KOLONT,159125308,,,,,,,159125308,,,,,,,,,,,,,,
KOKENT,10133205,,,,,,,,10133205,,,,,,,,,,,,,
KOFCOR,0,,,0,,,,,,,,,,,,,,,,,,
KOEWPW,2888043840,,,,,2888043840,,,,,,,,,,,,,,,,
KOBSTL,1334305660,,,,,,,,1334305660,,,,,,,,,,,,,
KOAUPM,15594600,,,,15594600,,,,,,,,,,,,,,,,,
KNSTEL,3056830,,,,,,,,3056830,,,,,,,,,,,,,
KNNLIN,77973000,77973000,,,,,,,,,,,,,,,,,,,,
KNFMIT,44505619,,,,,,,,,,,,44505619,,,,,,,,,
KNBZMK,3091988800,,,,0,,,,,,,,,,,,,,3091988800,,,
KMWASG,143375000,143375000,,,,,,,,,,,,,,,,,,,,
KMIRON,628689900,,,,,,,,628689900,,,,,,,,,,,,,
KMI,34760710200,,,,,,,,,,34760339200,371000,,,,,,,,,,
KMEPCD,459307110,,,,459307110,,,,,,,,,,,,,,,,,
KMAZRU,435235300,,,,435235300,,,,,,,,,,,,,,,,,
KLTJMK,0,,,,0,,,,,,,,,,,,,,,,,
KLSTSE,2905000,,,,,,,,2905000,,,,,,,,,,,,,
KLMAIR,448001400,,,,,,,,,,,,448001400,,,,,,,,,
KKWLEB,425108000,,,,,425108000,,,,,,,,,,,,,,,,
KKGDSW,138667100,138667100,,,,,,,,,,,,,,,,,,,,
KKAN,25884863,,,,,,,25884863,,,,,,,,,,,,,,
KITZ,182882,,,,,,,,182882,,,,,,,,,,,,,
KITT,32494440,,,,,,,,,,32494440,,,,,,,,,,,
KISSNR,400000000,,,,,,,400000000,,,,,,,,,,,,,,
KIRKHM,7600000,,,,,,,,,,,,,7600000,,,,,,,,
KINSOL,952360504,,,,,,,,,,,,,,,952360504,,,,,,
KINOVE,0,,,,,,,0,,,,,,,,,,,,,,
KINGFA,318970000,,,,,,,318970000,,,,,,,,,,,,,,
KINGEE,286546510,,,,,,,,286546510,,,,,,,,,,,,,
KIASTL,250104240,,,,,,,,250104240,,,,,,,,,,,,,
KIAMTR,2831994960,,,,,,2831994960,,,,,,,,,,,,,,,
KHDRWY,689112000,,,,,,,,,,,,689112000,,,,,,,,,
KFW,4.4713E+11,,,4.4713E+11,,,,,,,,,,,,,,,,,,
KEYCN,470809342,470809342,,,,,,,,,,,,,,,,,,,,
KEX,500000000,,,,500000000,,,,,,,,,,,,,,,,,
KESAS,141966882,,,,141966882,,,,,,,,,,,,,,,,,
KERPRO,300000000,,,,300000000,,,,,,,,,,,,,,,,,
KERLIN,0,,,,,,,0,,,,,,,,,,,,,,
KEPSP,1487668400,,,,,,,,,,,,,,1487668400,,,,,,,
KENHIL,206093449,,,,,,,,,,,,,,,206093449,,,,,,
KEMIRA,552146727,,,,,,,552146727,,,,,,,,,,,,,,
KEMIJO,49388430,,,,,49388430,,,,,,,,,,,,,,,,
KELPA,13542795,13542795,,,,,,,,,,,,,,,,,,,,
KELCN,71610480,,,,,,,,,71610480,,,,,,,,,,,,
KELAGG,368097000,368097000,,,,,,,,,,,,,,,,,,,,
KEL,4310053513,4310053513,,,,,,,,,,,,,,,,,,,,
KEIHCO,10058521,,,,10058521,,,,,,,,,,,,,,,,,
KEGX,0,,,,,,,,,,,,,,0,,,,,,,
KEGCKN,61697938,,,,,61697938,,,,,,,,,,,,,,,,
KECIIN,44444610,44444610,,,,,,,,,,,,,,,,,,,,
KEADGR,405000000,,,,405000000,,,,,,,,,,,,,,,,,
KDIVCO,167120100,,,,,,,167120100,,,,,,,,,,,,,,
KDGITR,23610224,23610224,,,,,,,,,,,,,,,,,,,,
KCN,1750000000,,,,,,,,1750000000,,,,,,,,,,,,,
KCHOL,1500000000,,,,,,,,,,,,,,,,1500000000,,,,,
KCADEU,910000000,,,,,,,,,,,,,,910000000,,,,,,,
KAWKIS,568461169,,,,568461169,,,,,,,,,,,,,,,,,
KAUMKG,539524800,,,,,,,539524800,,,,,,,,,,,,,,
KATMRT,13169700,,,,13169700,,,,,,,,,,,,,,,,,
KARSNT,48239242,,,,,,48239242,,,,,,,,,,,,,,,
KAPCO,0,,,,,,,0,,,,,,,,,,,,,,
KANSEL,11248302650,11248302650,,,,,,,,,,,,,,,,,,,,
KANPNT,914411000,,,,,,,914411000,,,,,,,,,,,,,,
KANKAL,64841840,,,,,,,,,,,,64841840,,,,,,,,,
KANCHE,91441100,,,,,,,91441100,,,,,,,,,,,,,,
KANAIR,5960100335,,,,5960100335,,,,,,,,,,,,,,,,,
KALU,375000000,,,,,,,,375000000,,,,,,,,,,,,,
KALLPA,1142760000,650000000,,,,492760000,,,,,,,,,,,,,,,,
KAILUA,1916935325,,,,,,,,,,,,,1916935325,,,,,,,,
KAIJIA,79742500,,,,,,,,,,,,,79742500,,,,,,,,
KAIDII,194177640,,,,,,,,194177640,,,,,,,,,,,,,
KAFKAE,1357848484,,,,,,,,,,,,,,,,,,,1357848484,,
JZILOG,477954350,,,,477954350,,,,,,,,,,,,,,,,,
JZHEND,216576600,,,,,,,,,,,,,216576600,,,,,,,,
JXWCIG,659576680,659576680,,,,,,,,,,,,,,,,,,,,
JXPIVG,430318800,,,,,430318800,,,,,,,,,,,,,,,,
JXINVE,23874300,23874300,,,,,,,,,,,,,,,,,,,,
JXICOP,79742500,,,,,,,,79742500,,,,,,,,,,,,,
JXHLDG,2649405100,,,,,,,,,,,,,,,,2649405100,,,,,
JXGGCZ,79581000,,,,,,,,79581000,,,,,,,,,,,,,
JXCOAL,230946400,,,,,,,,,,,,,230946400,,,,,,,,
JWDC,1097293,1097293,,,,,,,,,,,,,,,,,,,,
JWD,15863700,,,,15863700,,,,,,,,,,,,,,,,,
JVVNIN,11878282,11878282,,,,,,,,,,,,,,,,,,,,
JVVLIN,10453778,10453778,,,,,,,,,,,,,,,,,,,,
JUNZCN,238985250,,,,,,,238985250,,,,,,,,,,,,,,
JUIZBZ,0,,,,0,,,,,,,,,,,,,,,,,
JTPORT,95561800,,,,95561800,,,,,,,,,,,,,,,,,
JTCJYP,15948500,15948500,,,,,,,,,,,,,,,,,,,,
JSYGCO,95497200,,,,,,,,95497200,,,,,,,,,,,,,
JSWTPM,171540600,,,,,,,,171540600,,,,,,,,,,,,,
JSWINI,119610582,,,,119610582,,,,,,,,,,,,,,,,,
JSWIN,483432600,,,,,483432600,,,,,,,,,,,,,,,,
JSTLIN,1842270896,,,,,,,,1842270896,,,,,,,,,,,,,
JSSOPO,15948500,,,,,,,15948500,,,,,,,,,,,,,,
JSPIN,353529582,,,,,,,,353529582,,,,,,,,,,,,,
JSMRIJ,76519685,,,,76519685,,,,,,,,,,,,,,,,,
JSLYGP,279542490,,,,279542490,,,,,,,,,,,,,,,,,
JSLNFN,159162000,,,,,,,,159162000,,,,,,,,,,,,,
JSLGBZ,1102626592,,,,1102626592,,,,,,,,,,,,,,,,,
JSJNWC,120953411,120953411,,,,,,,,,,,,,,,,,,,,
JSJMHS,79581000,,,,,,,79581000,,,,,,,,,,,,,,
JSHXNE,47845500,,,,,,,,,,,,,,,47845500,,,,,,
JSHUIF,134760997,,,,,,,134760997,,,,,,,,,,,,,,
JSGOBD,111413400,,,,,,,111413400,,,,,,,,,,,,,,
JSDFHH,796262200,,,,796262200,,,,,,,,,,,,,,,,,
JSCCGL,822880000,822880000,,,,,,,,,,,,,,,,,,,,
JRCC,425793000,,,,,,,,,,,,,425793000,,,,,,,,
JQIRON,350156400,,,,,,,,350156400,,,,,,,,,,,,,
JPVLIN,101420000,,,,,101420000,,,,,,,,,,,,,,,,
JPUSF,179189000,179189000,,,,,,,,,,,,,,,,,,,,
JPRSRC,1100000000,,,,,,,,,1100000000,,,,,,,,,,,,
JPNAIR,182515000,,,,,,,,,,,,182515000,,,,,,,,,
JPBMK,178799600,,,,178799600,,,,,,,,,,,,,,,,,
JOTUN,139424400,,,,,,,139424400,,,,,,,,,,,,,,
JORPE,44755900,,,,,44755900,,,,,,,,,,,,,,,,
JONE,559148000,,,,,,,,,559148000,,,,,,,,,,,,
JONAHE,600000000,,,,,,,,,600000000,,,,,,,,,,,,
JOLLCB,8026155,,,,8026155,,,,,,,,,,,,,,,,,
JOELIT,54192088,,,,,,,,,54192088,,,,,,,,,,,,
JNHUCC,159162000,,,,,,,159162000,,,,,,,,,,,,,,
JMTIN,26510820,,,,26510820,,,,,,,,,,,,,,,,,
JMJSMI,239227500,,,,,,,,,,,,,239227500,,,,,,,,
JMINLG,159162000,,,,,,,,,,,,,159162000,,,,,,,,
JMINEG,0,,,,,,,,,,,,,0,,,,,,,,
JMHUBE,0,,,,,,,,0,,,,,,,,,,,,,
JLMHCO,31832400,,,,,,31832400,,,,,,,,,,,,,,,
JKS,10000,,,,,,,,,,,,,,,10000,,,,,,
JKCOOP,231940410,,,,231940410,,,,,,,,,,,,,,,,,
JIULAN,95691000,,,,,,,95691000,,,,,,,,,,,,,,
JISMOL,16000000,16000000,,,,,,,,,,,,,,,,,,,,
JISHSH,15948500,,,,,,,15948500,,,,,,,,,,,,,,
JINPOR,318647000,,,,318647000,,,,,,,,,,,,,,,,,
JINNIU,5639955000,,,,,,,,79742500,,,,,5560212500,,,,,,,,
JINNEN,159162000,,,,,159162000,,,,,,,,,,,,,,,,
JINNEG,6214747000,,,,,,,,,,,,,6214747000,,,,,,,,
JINKA,135449200,,,,,,,135449200,,,,,,,,,,,,,,
JININ,19138200,19138200,,,,,,,,,,,,,,,,,,,,
JINHNG,414338000,,,,,,,414338000,,,,,,,,,,,,,,
JINHEI,95497200,,,,,,,95497200,,,,,,,,,,,,,,
JINGUI,109057484,,,,,,,,109057484,,,,,,,,,,,,,
JINGME,531924080,,,,,,,,,,,,,531924080,,,,,,,,
JINCHU,956587000,,,,,,,,956587000,,,,,,,,,,,,,
JIMMK,605364360,,,,,605364360,,,,,,,,,,,,,,,,
JILPOW,127329600,,,,,127329600,,,,,,,,,,,,,,,,
JILIEP,79581000,,,,,,,79581000,,,,,,,,,,,,,,
JIACOP,238743000,,,,,,,,238743000,,,,,,,,,,,,,
JIACHE,63664800,,,,,,,63664800,,,,,,,,,,,,,,
JHPOIN,150643836,,,,,150643836,,,,,,,,,,,,,,,,
JHCWCL,23922750,23922750,,,,,,,,,,,,,,,,,,,,
JFEHLD,777065750,,,,,,,,777065750,,,,,,,,,,,,,
JFCHEM,159162000,,,,,,,159162000,,,,,,,,,,,,,,
JETPAK,47840485,,,,47840485,,,,,,,,,,,,,,,,,
JETIN,108990659,,,,,,,,,,,,108990659,,,,,,,,,
JEMELT,130000000,,,,,,,,,,,,,,,130000000,,,,,,
JEILTK,3056830,,,,3056830,,,,,,,,,,,,,,,,,
JECN,357211620,357211620,,,,,,,,,,,,,,,,,,,,
JDSLIN,6961882,,,,,,,,6961882,,,,,,,,,,,,,
JCHXMI,31832400,,,,,,,,31832400,,,,,,,,,,,,,
JCCHEM,9263120,,,,,,,,,,,,,,,9263120,,,,,,
JBPOIN,175000000,,,,175000000,,,,,,,,,,,,,,,,,
JBLU,0,,,,,,,,,,,,0,,,,,,,,,
JBHT,850000000,,,,850000000,,,,,,,,,,,,,,,,,
JAWNEH,6443626,,,,6443626,,,,,,,,,,,,,,,,,
JAURU,11921130,11921130,,,,,,,,,,,,,,,,,,,,
JATOMI,365764400,,,,,365764400,,,,,,,,,,,,,,,,
JATIMK,97062640,,,,,97062640,,,,,,,,,,,,,,,,
JAPAIR,273772500,,,,273772500,,,,,,,,,,,,,,,,,
JAMAIR,113095000,,,,,,,,,,,,113095000,,,,,,,,,
JALSTM,0,,,,,,,,,,,,0,,,,,,,,,
JAGCN,0,,,,,,,,0,,,,,,,,,,,,,
JACKUP,0,,,,0,,,,,,,,,,,,,,,,,
JACKTS,0,,,,,,,,0,,,,,,,,,,,,,
IZENT,14302257,,,,,14302257,,,,,,,,,,,,,,,,
IWCR,45000000,45000000,,,,,,,,,,,,,,,,,,,,
IWATAN,346870300,346870300,,,,,,,,,,,,,,,,,,,,
IVLTB,1630788360,,,,,,,1630788360,,,,,,,,,,,,,,
IVLSP,147703140,,,,,,,147703140,,,,,,,,,,,,,,
ITWG,243340000,,,,,,,,243340000,,,,,,,,,,,,,
ITGPW,0,,,,0,,,,,,,,,,,,,,,,,
ITGEBZ,34081727,,,,,34081727,,,,,,,,,,,,,,,,
ITCGPL,150000000,150000000,,,,,,,,,,,,,,,,,,,,
ITC,4720300000,4720300000,,,,,,,,,,,,,,,,,,,,
ITAPBZ,117349394,,,,117349394,,,,,,,,,,,,,,,,,
ISUCHE,13894680,,,,,,,13894680,,,,,,,,,,,,,,
ISRELE,7917964471,,,,,7917964471,,,,,,,,,,,,,,,,
ISRAL,450977333,,,,,,,,,450977333,,,,,,,,,,,,
ISNATG,143037625,,,,,,,,,,,,,,143037625,,,,,,,
ISLSHI,93154820,,,,93154820,,,,,,,,,,,,,,,,,
ISHYD,75243035,,,,,75243035,,,,,,,,,,,,,,,,
ISHIHA,3840526,,,,,,,3840526,,,,,,,,,,,,,,
ISDRIL,0,,,,,,,,,,,,,,0,,,,,,,
ISDB,13751799500,,13751799500,,,,,,,,,,,,,,,,,,,
ISCODV,730000000,,730000000,,,,,,,,,,,,,,,,,,,
ISAGEN,334021799,334021799,,,,,,,,,,,,,,,,,,,,
ISACB,1019297048,1019297048,,,,,,,,,,,,,,,,,,,,
IRPCTB,483969760,,,,,,,,,,,,,,,,483969760,,,,,
IRONGT,210000000,,,,,,,,,,,,,,210000000,,,,,,,
IROGAS,39000000,39000000,,,,,,,,,,,,,,,,,,,,
IREIM,2206667896,2206667896,,,,,,,,,,,,,,,,,,,,
IREDA,1064487396,,,,,,,,,,,,,,,1064487396,,,,,,
IRACOR,0,,,,,,,0,,,,,,,,,,,,,,
IPRLN,0,0,,,,,,,,,,,,,,,,,,,,
IPLCN,2933780475,119856150,,,,,,,,,2813924325,,,,,,,,,,,
IPLAU,1357740000,,,,,,,1357740000,,,,,,,,,,,,,,
IPI,135000000,,,,,,,135000000,,,,,,,,,,,,,,
IPETIL,340844285,,,,,,,340844285,,,,,,,,,,,,,,
IOXNO,37435400,,,,,,,,,37435400,,,,,,,,,,,,
IOWACH,397905000,,,,397905000,,,,,,,,,,,,,,,,,
IOTUTK,355023747,,,,,,,,,,,,,,355023747,,,,,,,
IOOGR,95214424,,,,,,,,,,,,,95214424,,,,,,,,
IOCLIN,1469843020,,,,,,,,,,,,,,,,1469843020,,,,,
IO,149066000,,,,,,,,,,,,,,149066000,,,,,,,
INXWI,69590903,,,,,,,,,,,,,,,69590903,,,,,,
INVSTA,750000000,,,,,,,750000000,,,,,,,,,,,,,,
INVALS,339733000,,,,339733000,,,,,,,,,,,,,,,,,
INTSRH,46685325,,,,,,,,,46685325,,,,,,,,,,,,
INTSPN,909757000,,,,,,,,,,,,,,909757000,,,,,,,
INTMAT,600000000,,,,,,,,,,600000000,,,,,,,,,,,
INTGIS,20842020,,,,20842020,,,,,,,,,,,,,,,,,
INTGEN,994247500,,,,,994247500,,,,,,,,,,,,,,,,
INTAVI,515000000,,,,,,,,,,,,515000000,,,,,,,,,
INRSPA,29049479,,,,,,,,,,,,,,,29049479,,,,,,
INRCIN,13352946786,,,,,,,,,,,,,,,,,,13352946786,,,
INNOGB,0,,,,,,,0,,,,,,,,,,,,,,
INNMON,1140259700,,,,,,,,1140259700,,,,,,,,,,,,,
INKTEC,3890510,,,,,,,3890510,,,,,,,,,,,,,,
INKENE,600000000,,,,,600000000,,,,,,,,,,,,,,,,
INFRTK,0,0,,,,,,,,,,,,,,,,,,,,
INFRAX,613495000,613495000,,,,,,,,,,,,,,,,,,,,
INFRAS,37628108,,,,37628108,,,,,,,,,,,,,,,,,
INFINS,0,,,,,,,,,,,,,,,0,,,,,,
INFBEL,1159505550,,,,1159505550,,,,,,,,,,,,,,,,,
INEGRP,3266862450,,,,,,,3266862450,,,,,,,,,,,,,,
INECN,79567200,,,,,79567200,,,,,,,,,,,,,,,,
INDYIJ,0,,,,,,,,,,,,,0,,,,,,,,
INDUKG,20000000,,,,,,,,,,,,,20000000,,,,,,,,
INDTOW,55038900,,,,,55038900,,,,,,,,,,,,,,,,
INDSUL,12000000,,,,,,,12000000,,,,,,,,,,,,,,
INDRIN,22799305,,,,,22799305,,,,,,,,,,,,,,,,
INDKOR,31110923573,,,31110923573,,,,,,,,,,,,,,,,,,
INDINW,87709000,87709000,,,,,,,,,,,,,,,,,,,,
INDILN,225745200,,,,,,,,,225745200,,,,,,,,,,,,
INDHOL,31362449,,,,31362449,,,,,,,,,,,,,,,,,
INDEFI,0,,,,,,,,,,,,,,,,,,,0,,
INCIRO,4223982720,,,,,,,,4223982720,,,,,,,,,,,,,
INCIM,12269900,,,,,,,,,,,,,,,12269900,,,,,,
INACN,525000,,,,,,,,,525000,,,,,,,,,,,,
IMYTCC,1114134000,,,,,,,,,,,,,1114134000,,,,,,,,
IMYILI,381231026,,,,,,,381231026,,,,,,,,,,,,,,
IMSKNO,55289400,,,,55289400,,,,,,,,,,,,,,,,,
IMPALA,570786892,,,,,,,,570786892,,,,,,,,,,,,,
IMO,0,,,,,,,,,,,0,,,,,,,,,,
IMIGON,1387436734,,,,,,,,,,,,,,,,,1387436734,,,,
IMIFAB,19631840,,,,,,,19631840,,,,,,,,,,,,,,
IMICLN,125441940,,,,,,,,125441940,,,,,,,,,,,,,
IMHRUS,576910000,,,,,,,,576910000,,,,,,,,,,,,,
IMGCN,400000000,,,,,,,,400000000,,,,,,,,,,,,,
IMCPIL,111413400,,,,111413400,,,,,,,,,,,,,,,,,
IMCOLT,6947340,,,,,,,,,,,,,,,6947340,,,,,,
IMBI,0,,,,0,,,,,,,,,,,,,,,,,
ILUAU,0,,,,,,,,0,,,,,,,,,,,,,
ILFSEN,194932500,,,,,194932500,,,,,,,,,,,,,,,,
ILCOIT,1129659541,,,,,,,,,,,,,,,,1129659541,,,,,
IKGIM,124789791,,,,,,,,124789791,,,,,,,,,,,,,
IJMMK,302937608,,,,302937608,,,,,,,,,,,,,,,,,
IJETCB,98586600,,,,,,,,,,,,98586600,,,,,,,,,
IINVBK,717541158,,717541158,,,,,,,,,,,,,,,,,,,
IILM,2000000000,,2000000000,,,,,,,,,,,,,,,,,,,
IIICN,325000000,,,,,,,,325000000,,,,,,,,,,,,,
IGYGY,14651545270,14651545270,,,,,,,,,,,,,,,,,,,,
IGIM,3251523500,3251523500,,,,,,,,,,,,,,,,,,,,
IGASLN,40822800,,,,,,,,,40822800,,,,,,,,,,,,
IFTNZ,729115922,,,,,729115922,,,,,,,,,,,,,,,,
IFMCOL,250000000,,,,,,,,,,250000000,,,,,,,,,,,
IFFIMS,200000000,,200000000,,,,,,,,,,,,,,,,,,,
IFFIM,1036440951,,1036440951,,,,,,,,,,,,,,,,,,,
IFF,1663495000,,,,,,,1663495000,,,,,,,,,,,,,,
IFCDN,0,,0,,,,,,,,,,,,,,,,,,,
IFC,54436570343,,54436570343,,,,,,,,,,,,,,,,,,,
IESD,18380,18380,,,,,,,,,,,,,,,,,,,,
IENOVA,1118898360,1118898360,,,,,,,,,,,,,,,,,,,,
IEMDSA,106885202,106885202,,,,,,,,,,,,,,,,,,,,
IDJIKG,695916,,,,,,,,695916,,,,,,,,,,,,,
IDESA,300000000,,,,,,,300000000,,,,,,,,,,,,,,
IDEMIT,594183550,,,,,,,,,,,,,,,,594183550,,,,,
IDBINV,500000000,,500000000,,,,,,,,,,,,,,,,,,,
IDA,1575000000,1575000000,,,,,,,,,,,,,,,,,,,,
ICTPM,1758862000,,,,1758862000,,,,,,,,,,,,,,,,,
ICLIT,1248925393,,,,,,,1248925393,,,,,,,,,,,,,,
ICENYA,30290310,30290310,,,,,,,,,,,,,,,,,,,,
ICEAIR,264750000,,,,264750000,,,,,,,,,,,,,,,,,
IBRDDN,0,,0,,,,,,,,,,,,,,,,,,,
IBRD,1.94501E+11,,1.94501E+11,,,,,,,,,,,,,,,,,,,
IBILN,0,,,,,,,,,,,,,,,0,,,,,,
IBESM,22538191203,22538191203,,,,,,,,,,,,,,,,,,,,
IBBSH,2883426500,,,2883426500,,,,,,,,,,,,,,,,,,
IBB,7430513290,,,7430513290,,,,,,,,,,,,,,,,,,
IBAARA,61570460,61570460,,,,,,,,,,,,,,,,,,,,
IAGLN,2166722100,,,,,,,,,,,,2166722100,,,,,,,,,
IAECN,300000000,,,,,,,,,300000000,,,,,,,,,,,,
IADBDN,0,,0,,,,,,,,,,,,,,,,,,,
IADB,87467113496,,87467113496,,,,,,,,,,,,,,,,,,,
HZZCHG,589153539,,,,,,,589153539,,,,,,,,,,,,,,
HZXSIZ,238743000,,,,,,,,,,,,238743000,,,,,,,,,
HZPHPG,111639500,,,,,111639500,,,,,,,,,,,,,,,,
HZNXSE,144837420,144837420,,,,,,,,,,,,,,,,,,,,
HZHCOM,318808500,,,,318808500,,,,,,,,,,,,,,,,,
HZCOMM,286491600,,,,286491600,,,,,,,,,,,,,,,,,
HYUPAI,6021028,,,,,,,6021028,,,,,,,,,,,,,,
HYUOIL,1273679000,,,,,,,,,,,,,,,,1273679000,,,,,
HYUNMM,1444960383,,,,1444960383,,,,,,,,,,,,,,,,,
HYUMIP,92631200,,,,92631200,,,,,,,,,,,,,,,,,
HYUCAP,14623779677,,,,,,14623779677,,,,,,,,,,,,,,,
HYOSTC,703585010,,,,,,,703585010,,,,,,,,,,,,,,
HYOMOT,61458578,,,,,,61458578,,,,,,,,,,,,,,,
HYOHI,458016750,458016750,,,,,,,,,,,,,,,,,,,,
HYNROT,967996040,,,,,,967996040,,,,,,,,,,,,,,,
HYNMTR,8900000000,,,,,,8900000000,,,,,,,,,,,,,,,
HYNMOT,277893600,,,,,,277893600,,,,,,,,,,,,,,,
HYNHEA,1989804520,,,,1989804520,,,,,,,,,,,,,,,,,
HYGLLC,254659200,,,,,,,254659200,,,,,,,,,,,,,,
HYDRRM,1836852500,,,,,1836852500,,,,,,,,,,,,,,,,
HYDONE,9140698926,9140698926,,,,,,,,,,,,,,,,,,,,
HYCGHC,318970000,,,,,,,318970000,,,,,,,,,,,,,,
HYARD,12787400,,,,12787400,,,,,,,,,,,,,,,,,
HXN,3486388000,,,,,,,3486388000,,,,,,,,,,,,,,
HVRENO,0,,,,0,,,,,,,,,,,,,,,,,
HVPNIN,187135200,,,,,187135200,,,,,,,,,,,,,,,,
HUYIHU,462220196,,,,,,,462220196,,,,,,,,,,,,,,
HUSTHO,1108953562,,,,,,,,,,,,,,,,,,1108953562,,,
HUSTEL,18526240,,,,,,,,18526240,,,,,,,,,,,,,
HUSCOK,49371330,,,,,,,,49371330,,,,,,,,,,,,,
HURLN,230000000,,,,,,,,,230000000,,,,,,,,,,,,
HUNGHE,175304300,,,,,,,175304300,,,,,,,,,,,,,,
HUN,1964107550,,,,,,,1964107550,,,,,,,,,,,,,,
HUEXPR,796779000,,,,796779000,,,,,,,,,,,,,,,,,
HUDCO,3539325699,,,,,,,,,,,,,,,,,,3539325699,,,
HUCHFC,128934849,,,,,,,128934849,,,,,,,,,,,,,,
HUBSAN,14826895,,,,,,,14826895,,,,,,,,,,,,,,
HUBLMK,1787996,,,,1787996,,,,,,,,,,,,,,,,,
HUAPON,191382000,,,,,,,191382000,,,,,,,,,,,,,,
HUANEN,14104719736,,,,,14104719736,,,,,,,,,,,,,,,,
HUAINM,2438182500,,,,,,,,,,,,,2438182500,,,,,,,,
HUAIBE,1433427000,,,,,,,,,,,,,1433427000,,,,,,,,
HUADJS,159323500,,,,,159323500,,,,,,,,,,,,,,,,
HUADIA,10573557100,,,,,9968741500,,,,,,,,318324000,,286491600,,,,,,
HUACHE,956587000,,,,,,956587000,,,,,,,,,,,,,,,
HTWTER,111413400,111413400,,,,,,,,,,,,,,,,,,,,
HTVBMK,68897361,,,,,,,,68897361,,,,,,,,,,,,,
HTRANS,273772500,,,,273772500,,,,,,,,,,,,,,,,,
HTOSU,0,,,,,,,,,,,0,,,,,,,,,,
HTHROW,17490347259,,,,17490347259,,,,,,,,,,,,,,,,,
HSVEIT,55103480,55103480,,,,,,,,,,,,,,,,,,,,
HSSLID,127452340,,,,,,,127452340,,,,,,,,,,,,,,
HSINKU,20482680,,,,,,,,20482680,,,,,,,,,,,,,
HSHPFM,1990796000,,,,,,,,,,,,,,,,,1990796000,,,,
HSHFF,4601212500,,,,,,,,,,,,,,,,,,,4601212500,,
HSHCCH,382505600,,,,,,,,382505600,,,,,,,,,,,,,
HSEXPC,899776835,,,,899776835,,,,,,,,,,,,,,,,,
HSEGR,392636800,392636800,,,,,,,,,,,,,,,,,,,,
HSECN,4200124400,,,,,,,,,0,,4200124400,,,,,,,,,,
HSCHIN,38986500,,,,,,,38986500,,,,,,,,,,,,,,
HSC,0,,,,,,,,0,,,,,,,,,,,,,
