Old_INDUSTRY_SECTOR,Old_BICS Code,Old_INDUSTRY_GROUP,Old_BICS Code,Old_INDUSTRY_SUBGROUP,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code
,,,86,Rental Auto/Equipment,3228,Consumer Services,2,3212,Retail - Consumer Discretionary,2,
,,,95,Schools,3226,Educational Services,2,,,,
,,,641,Schools-Day Care,3226,Educational Services,2,,,,
,,,87,Funeral Serv&Rel Items,3228,Consumer Services,2,,,,
,,,655,Non-Profit Charity,3228,Consumer Services,2,,,,
,,,295,Auto Repair Centers,3212,Retail - Consumer Discretionary,2,,,,
,,,280,Commercial Serv-Finance,3228,Consumer Services,2,,,,
,,,382,Workers Comp/Injury Serv,3514,Property & Casualty Insurance,2,,,,
,,,344,Extended Serv Contracts,3514,Property & Casualty Insurance,2,,,,
,,,94,Research&Development,3612,Health Care Facilities & Services,2,,,,
,,,345,Health Care Cost Contain,3615,Managed Care,2,,,,
,,,297,Public Thoroughfares,3716,Industrial Other,2,3712,Transportation & Logistics,2,
,,,97,Stevedoring,3712,Transportation & Logistics,2,,,,
,,,99,Whsing&Harbor Trans Serv,3712,Transportation & Logistics,2,,,,
,,,90,Marine Services,3712,Transportation & Logistics,2,,,,
,,,441,Traffic Management Sys,3810,Hardware,2,,,,
,,,645,Inactive/Unknown,Not Available,,,,,,
Energy,20048,Oil&Gas,136,Oil Comp-Integrated,3410,Integrated Oils,2,,,,
,,,135,Oil Comp-Explor&Prodtn,3412,Exploration & Production,2,,,,
,,,141,Oil-US Royalty Trusts,3412,Exploration & Production,2,,,,
,,,138,Oil Refining&Marketing,3414,Refining & Marketing,2,,,,
,,,137,Oil&Gas Drilling,3413,Oil & Gas Services & Equipment,2,,,,
,20050,Pipelines,144,Pipelines,3415,Pipeline,2,,,,
,20049,Oil&Gas Services,142,Oil-Field Services,3413,Oil & Gas Services & Equipment,2,,,,
,,,143,Oil Field Mach&Equip,3413,Oil & Gas Services & Equipment,2,,,,
,,,498,Seismic Data Collection,3413,Oil & Gas Services & Equipment,2,,,,
,20046,Coal,134,Coal,3416,Coal Operations,2,,,,
,20047,Energy-Alternate Sources,268,Energy-Alternate Sources,3411,Renewable Energy,2,,,,
Diversified,20045,Holding Companies-Divers,133,Diversified Operations,,,,,,,
,,,308,Specified Purpose Acquis,3516,Financial Services,2,,,,
Financial,20056,Investment Companies,702,Capital Pools,3516,Financial Services,2,,,,
,,,436,Invest Comp - Resources,3516,Financial Services,2,,,,
,,,664,Internet Investment,3516,Financial Services,2,,,,
,,,168,Investment Companies,3516,Financial Services,2,,,,
,20060,Private Equity,988,Private Equity,3516,Financial Services,2,,,,
,,,184,Venture Capital,3516,Financial Services,2,,,,
,20052,Closed-end Funds,155,Closed-end Funds,3517,Funds & Trusts,2,,,,
,20053,Country Funds-Closed-end,156,Finance-Investment Fund,3517,Funds & Trusts,2,,,,
,20051,Banks,713,Diversified Banking Inst,3518,Diversified Banks,2,,,,
,,,675,Commer Banks Non-US,3510,Banks,2,,,,
,,,148,Commer Banks-Central US,3510,Banks,2,,,,
,,,147,Commer Banks-Eastern US,3510,Banks,2,,,,
,,,149,Commer Banks-Southern US,3510,Banks,2,,,,
,,,150,Commer Banks-Western US,3510,Banks,2,,,,
,,,442,Cooperative Banks,3510,Banks,2,,,,
,,,695,Fiduciary Banks,3510,Banks,2,3516,Financial Services,2,
,,,145,Money Center Banks,3510,Banks,2,,,,
,,,443,Regional Banks-Non US,3510,Banks,2,,,,
,,,444,Special Purpose Banks,3510,Banks,2,5014,Government Development Banks,2,
,,,146,Super-Regional Banks-US,3510,Banks,2,,,,
,,,676,Mortgage Banks,3512,Consumer Finance,2,,,,
,,,712,Central Bank,5016,Central Bank,2,,,,
,20059,Savings&Loans,152,S&L/Thrifts-Central US,3510,Banks,2,,,,
,,,151,S&L/Thrifts-Eastern US,3510,Banks,2,,,,
,,,153,S&L/Thrifts-Southern US,3510,Banks,2,,,,
,,,154,S&L/Thrifts-Western US,3510,Banks,2,,,,
,,,440,Building Societies,3510,Banks,2,3512,Consumer Finance,,
,20054,Diversified Finan Serv,303,Invest Mgmnt/Advis Serv,3516,Financial Services,2,,,,
,,,659,Finance-Commercial,3511,Commercial Finance,2,,,,
,,,160,Finance-Leasing Compan,3511,Commercial Finance,2,,,,
,,,274,Finance-Auto Loans,3512,Consumer Finance,2,,,,
,,,157,Finance-Consumer Loans,3512,Consumer Finance,2,,,,
,,,158,Finance-Credit Card,3512,Consumer Finance,2,,,,
,,,161,Finance-Mtge Loan/Banker,3512,Consumer Finance,2,,,,
,,,162,Finance-Other Services,3516,Financial Services,2,,,,
,,,159,Finance-Invest Bnkr/Brkr,3516,Financial Services,2,,,,
,,,654,Derivatives,3516,Financial Services,2,,,,
,,,439,Special Purpose Entity,,,,,,,
,,,176,Diversified Finan Serv,,,,,,,
,20055,Insurance,165,Multi-line Insurance,3513,Life Insurance,2,3514,Property & Casualty Insurance,2,
,,,409,Mutual Insurance,3513,Life Insurance,2,3514,Property & Casualty Insurance,2,
,,,164,Life/Health Insurance,3513,Life Insurance,2,3615,Managed Care,2,
,,,166,Property/Casualty Ins,3514,Property & Casualty Insurance,2,,,,
,,,285,Financial Guarantee Ins,3514,Property & Casualty Insurance,2,,,,
,,,286,Reinsurance,3514,Property & Casualty Insurance,2,,,,
,,,163,Insurance Brokers,3514,Property & Casualty Insurance,2,,,,
,20058,Real Estate,646,Housing Authority,3515,Real Estate,2,,,,
,,,639,Property Trust,3515,Real Estate,2,,,,
,,,672,Real Estate Oper/Develop,3515,Real Estate,2,,,,
,,,673,Real Estate Mgmnt/Servic,3515,Real Estate,2,,,,
,20057,REITS,174,REITS-Mortgage,3512,Consumer Finance,2,,,,
,,,171,REITS-Health Care,3515,Real Estate,2,,,,
,,,670,REITS-Hotels,3515,Real Estate,2,,,,
,,,169,REITS-Apartments,3515,Real Estate,2,,,,
,,,173,REITS-Manufactured Homes,3515,Real Estate,2,,,,
,,,181,REITS-Warehouse/Industr,3515,Real Estate,2,,,,
,,,170,REITS-Diversified,3515,Real Estate,2,,,,
,,,175,REITS-Office Property,3515,Real Estate,2,,,,
,,,178,REITS-Regional Malls,3515,Real Estate,2,,,,
,,,179,REITS-Shopping Centers,3515,Real Estate,2,,,,
,,,177,REITS-Single Tenant,3515,Real Estate,2,,,,
,,,180,REITS-Storage,3515,Real Estate,2,,,,
,,,306,REITS-Whole Loans,3515,Real Estate,2,,,,
Industrial,20078,Aerospace/Defense,240,Aerospace/Defense,3711,Aerospace & Defense,2,,,,
,,,241,Aerospace/Defense-Equip,3711,Aerospace & Defense,2,,,,
,,,242,Electronics-Military,3711,Aerospace & Defense,2,,,,
,20080,Electrical Compo&Equip,411,Lighting Products&Sys,3718,Electrical Equipment Manufacturing,2,,,,
,,,412,Power Conv/Supply Equip,3718,Electrical Equipment Manufacturing,2,,,,
,,,413,Superconductor Prod&Sys,3718,Electrical Equipment Manufacturing,2,,,,
,,,191,Electric Products-Misc,3718,Electrical Equipment Manufacturing,2,,,,
,,,192,Wire&Cable Products,3718,Electrical Equipment Manufacturing,2,,,,
,,,410,Batteries/Battery Sys,3411,Renewable Energy,2,3313,Consumer Products,2,
,20081,Electronics,417,Electronic Secur Devices,3718,Electrical Equipment Manufacturing,2,,,,
,,,197,Instruments-Controls,3718,Electrical Equipment Manufacturing,2,,,,
,,,198,Instruments-Scientific,3718,Electrical Equipment Manufacturing,2,,,,
,,,194,Electronic Measur Instr,3718,Electrical Equipment Manufacturing,2,,,,
,,,195,Electronic Connectors,3718,Electrical Equipment Manufacturing,2,,,,
,,,199,Lasers-Syst/Components,3718,Electrical Equipment Manufacturing,2,,,,
,,,419,Industr Audio&Video Prod,3810,Hardware,2,,,,
,,,418,Identification Sys/Dev,3810,Hardware,2,,,,
,,,414,Capacitors,3810,Hardware,2,,,,
,,,415,Circuit Boards,3810,Hardware,2,,,,
,,,416,Circuits,3810,Hardware,2,,,,
,,,193,Electronic Compo-Misc,3810,Hardware,2,,,,
,,,196,Electronic Parts Distrib,3814,"Design, Manufacturing & Distribution",2,,,,
,20085,Machinery-Constr&Mining,210,Machinery-Electric Util,3718,Electrical Equipment Manufacturing,2,,,,
,,,209,Machinery-Constr&Mining,3714,Machinery Manufacturing,2,,,,
,20086,Machinery-Diversified,213,Machinery-Farm,3714,Machinery Manufacturing,2,,,,
,,,211,Engines-Internal Combust,3714,Machinery Manufacturing,2,,,,
,,,212,Industrial Automat/Robot,3714,Machinery Manufacturing,2,,,,
,,,357,Machinery-Pumps,3714,Machinery Manufacturing,2,,,,
,,,214,Machinery-General Indust,3714,Machinery Manufacturing,2,,,,
,,,216,Machinery-Print Trade,3714,Machinery Manufacturing,2,,,,
,,,217,Machinery-Therml Process,3714,Machinery Manufacturing,2,,,,
,,,215,Machinery-Material Handl,3714,Machinery Manufacturing,2,,,,
,20084,Hand/Machine Tools,207,Machinery-Electrical,3714,Machinery Manufacturing,2,,,,
,,,206,Mach Tools&Rel Products,3714,Machinery Manufacturing,2,,,,
,,,208,Tools-Hand Held,3218,Home Improvement,2,,,,
,20087,Metal Fabricate/Hardware,219,Metal Processors&Fabrica,3710,Manufactured Goods,2,,,,
,,,220,Metal Products-Fasteners,3710,Manufactured Goods,2,,,,
,,,218,Metal Products-Distrib,3716,Industrial Other,2,,,,
,,,221,Steel Pipe&Tube,3011,Metals & Mining,2,,,,
,20090,Shipbuilding,232,Shipbuilding,3712,Transportation & Logistics,2,,,,
,20079,Building Materials,186,Bldg Prod-Air&Heating,3718,Electrical Equipment Manufacturing,2,,,,
,,,189,Bldg Prod-Light Fixtures,3718,Electrical Equipment Manufacturing,2,,,,
,,,187,Bldg Prod-Cement/Aggreg,3012,Construction Materials Manufacturing,2,,,,
,,,190,Bldg Prod-Wood,3012,Construction Materials Manufacturing,2,,,,
,,,188,Bldg Prod-Doors&Windows,3218,Home Improvement,2,,,,
,,,185,Bldg&Construct Prod-Misc,3218,Home Improvement,2,,,,
,,,433,Ceramic Products,3218,Home Improvement,2,,,,
,20082,Engineering&Construction,203,Engineering/R&D Services,3716,Industrial Other,2,,,,
,,,201,Building-Heavy Construct,3716,Industrial Other,2,,,,
,,,200,Airport Develop/Maint,3716,Industrial Other,2,3712,Transportation & Logistics,2,
,,,202,Building&Construct-Misc,3716,Industrial Other,2,,,,
,20091,Transportation,233,Transport-Air Freight,3712,Transportation & Logistics,2,,,,
,,,237,Transport-Marine,3712,Transportation & Logistics,2,,,,
,,,235,Transport-Rail,3715,Railroad,2,,,,
,,,238,Transport-Truck,3712,Transportation & Logistics,2,,,,
,,,236,Transport-Services,3712,Transportation & Logistics,2,,,,
,20092,Trucking&Leasing,234,Transport-Equip&Leasng,3511,Commercial Finance,2,,,,
,,,239,Trucking&Leasing,3511,Commercial Finance,2,,,,
,20083,Environmental Control,351,Environ Consulting&Eng,3713,Waste & Environment Services & Equipment,2,,,,
,,,348,Air Pollution Control Eq,3713,Waste & Environment Services & Equipment,2,,,,
,,,352,Environ Monitoring&Det,3713,Waste & Environment Services & Equipment,2,,,,
,,,204,Pollution Control,3713,Waste & Environment Services & Equipment,2,,,,
,,,356,Water Treatment Systems,3713,Waste & Environment Services & Equipment,2,,,,
