investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,bics_sector,valid_input,direct_holding,financial_sector,sectors_with_assets,has_assets_in_fin_sector,flag
UNPRI,European Portfolio,74,AU000000ASX7,5125072.24621722,Asx Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,75,AU000000AVH4,320570.743473288,Avita Medical Ltd,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,76,AU000000AVN2,334324.36845918006,Aventus Retail Property Fund Ltd,Others,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,77,AU000000AWC3,1674555.246347808,Alumina Ltd,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,78,AU000000AX19,228248.59291251603,Accent Group Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,79,AU000000AZJ1,3574468.044911676,Aurizon Holdings Ltd,Equity,Industrials,TRUE,TRUE,Other,Coal,FALSE,Included in analysis
UNPRI,European Portfolio,80,AU000000BAP9,694617.4738104361,Bapcor Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,81,AU000000BEN6,3870476.3082433804,Bendigo & Adelaide Bank Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,82,AU000000BGA8,342620.35335976805,Bega Cheese Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,83,AU000000BHP4,24513376.879604846,Bhp Group Ltd,Equity,Materials,TRUE,TRUE,Other,Coal + Oil&Gas + Power,FALSE,Included in analysis
UNPRI,European Portfolio,84,AU000000BIN7,543944.450751108,Bingo Industries Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,85,AU000000BKL7,428415.447423216,Blackmores Ltd,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,86,AU000000BKW4,543217.04094042,Brickworks Ltd,Equity,Materials,TRUE,TRUE,Cement,NA,FALSE,Included in analysis
UNPRI,European Portfolio,87,AU000000BLD2,986782.0375743001,Boral Ltd,Equity,Materials,TRUE,TRUE,Cement,Power,FALSE,Included in analysis
UNPRI,European Portfolio,88,AU000000BOQ8,2475743.4236868965,Bank Of Queensland Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,89,AU000000BPT9,1695515.8080234001,Beach Energy Ltd,Equity,Energy,TRUE,TRUE,Oil&Gas,Oil&Gas,TRUE,Included in analysis
UNPRI,European Portfolio,90,AU000000BRG2,629277.6809148721,Breville Group Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,91,AU000000BSL0,4414298.835190993,Bluescope Steel Ltd,Equity,Materials,TRUE,TRUE,Steel,Cement&Steel,TRUE,Included in analysis
UNPRI,European Portfolio,92,AU000000BVS9,516355.57382613607,Bravura Solutions Ltd,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,93,AU000000BWP3,781309.4311063801,Bwp Trust,Others,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,94,AU000000BWX7,197915.397156312,Bwx Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,95,AU000000BXB1,5094594.395100936,Brambles Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
